taskNumUni	condNumUni	conditionName	duration	Action	MotorControl	MotorPlanning	RespAlt	RespSelection	InterferenceResolution	WorkingMemory	Updating	ActiveMaintenance	CognitiveLoad	ActiveRetrieval	VisualWM	DividedAtt	VisualAttention	LongtermMemory	AutobioRecall	SemanticKnowledge	LexicalProcessing	WordComprehension	LanguageProcessing	VerbalFluency	Narrative	Reasoning	Categorisation	CreativeThink	MentalArithmatic	FeedbackProcess	TaskSwitch	Emotion	EmotionRecognition	Arousal	SocialCog	Imagination	VisualPerception	VisualBodyRecog	VisualLetterRecog	VisualNumRecog	VisualObjectRecog	NaturalisticBioMotion	NaturalisticScenes	leftHandPresses	rightHandPresses	saccades
22	38	RomanceMovie     	30	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	1	0	0	 0	  0	45
23	39	LandscapeMovie   	30	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	 0	  0	58
24	40	MentalRotEasy    	10	1	1	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	 0	  3	43
24	41	MentalRotMed     	10	1	1	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	 0	  3	43
24	42	MentalRotDiff    	10	1	1	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	 0	  3	43
25	43	BodyMotionIntact 	15	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	 0	  5	23
25	44	BodyMotionScram  	15	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	 0	  5	23
26	45	RespAltEasy      	10	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	 1	  1	23
26	46	RespAltMed       	10	1	1	0	2	1	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	 1	  1	23
26	47	RespAltDiff      	10	1	1	0	4	1	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	 1	  1	23
